"row_id";"order_id";"order_date";"customer_id";"customer_name";"email";"city";"region";"product_id";"product_name";"category";"quantity";"unit_price";"discount_pct";"payment_method";"order_status";"sales_rep"
42;"O1042";"2025-04-20";"C009";"Dev Malhotra";"devmalhotra@gmail";"Delhi";"North";"P103";"Mechanical Keyboard";"Accessories";3;"3499";"0";"Card";"Shipped";"Amit"
44;"O1044";"2025-12-08";"C009";"Dev Malhotra";"devmalhotra@gmail";"Delhi";"North";"P102";"Wireless Mouse";"Accessories";2;"";"10";"UPI";"completed";"rahul"
45;"O1045";"2025-10-11";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Delhi";"North";"P105";"Noise Cancelling Headphones";"Audio";5;"5999";"5";"COD";"Shipped";"Neha"
46;"O1046";"2025-12-18";"C005";"Ishaan Verma";"ishaan.verma@gmail.com";"Chennai";"South";"P108";"Webcam HD";"Electronics";3;"2399";"0";"COD";"In Progress";"Amit"
47;"O1047";"2025-01-23";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Noida";"North";"P103";"Mechanical Keyboard";"Accessories";3;"3499";"5";"COD";"Complete ";"Vikram"
48;"O1048";"2025-12-28";"C007";"Kabir Nair";"kabir.nair@mail.com";"Chennai";"South";"P101";"Laptop Stand";"Accessories";1;"799";"0";"COD";"Pending";"Vikram"
49;"O1049";"2025-01-19";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Kolkata";"East";"P109";"External SSD 1TB";"Storage";2;"7499";"15";"Card";"Complete";"Amit"
50;"O1050";"2025-07-06";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Noida";"North";"P104";"USB-C Hub";"Accessories";2;"2199";"25";"UPI";"Shipped";"Vikram"
52;"O1052";"2025-01-13";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Noida";"North";"P107";"27 Inch Monitor";"Electronics";2;"14999";"110";"Card";"completed";"Sana"
53;"O1053";"2025-01-20";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Thane";"West";"P104";"USB-C Hub";"Accessories";4;"2199";"10";"Card";"Cancelled";"Neha"
55;"O1055";"2025-11-25";"C009";"Dev Malhotra";"devmalhotra@gmail";"Bengaluru";"South";"P109";"External SSD 1TB";"Storage";3;"7499";"0";"UPI";"cancelled";"Neha"
56;"O1056";"2025-10-25";"C005";"Ishaan Verma";"ishaan.verma@gmail.com";"Mumbai";"West";"P102";"Wireless Mouse";"Accessories";5;"1299";"15";"Card";"Shipped";"Sana"
57;"O1057";"2025-11-07";"C009";"Dev Malhotra";"devmalhotra@gmail";"Pune";"West";"P107";"27 Inch Monitor";"Electronics";5;"14999";"5";"Card";"Complete";"rahul"
58;"O1025";"2025-08-12";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Chennai";"South";"P109";"External SSD 1TB";"Storage";2;"7499";"10";"Cash";"completed";"rahul"
59;"O1059";"2025-06-19";"C010";"Pooja Desai";"pooja.desai@hotmail.com";"Noida";"North";"P102";"Wireless Mouse";"Accessories";3;"1299";"20";"Card";"In Progress";"Amit"
60;"O1060";"2025-07-26";"C005";"Ishaan Verma";"ishaan.verma@gmail.com";"Chennai";"South";"P103";"Mechanical Keyboard";"Accessories";2;"3499";"15";"COD";"In Progress";"rahul"
61;"O1061";"2026-01-19";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Kolkata";"East";"P110";"Office Chair";"Furniture";3;"8999";"15";"NetBanking";"Complete";"Amit"
62;"O1062";"2025-05-27";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Bengaluru";"South";"P110";"Office Chair";"Furniture";5;"8999";"25";"Card";"Complete ";"Sana"
63;"O1063";"2025-08-15";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Chennai";"South";"P108";"Webcam HD";"Electronics";2;"2599";"-5";"UPI";"cancelled";"Vikram"
64;"O1064";"2025-12-06";"C010";"Pooja Desai";"pooja.desai@hotmail.com";"Noida";"North";"P102";"Wireless Mouse";"Accessories";2;"1299";"25";"Card";"Cancelled";"Neha"
65;"O1065";"2025-03-17";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Mumbai";"West";"P104";"USB-C Hub";"Accessories";4;"2199";"20";"UPI";"completed";"Sana"
66;"O1066";"2025-08-01";"C010";"Pooja Desai";"pooja.desai@hotmail.com";"Thane";"West";"P107";"27 Inch Monitor";"Electronics";4;"14999";"15";"Card";"Pending";"rahul"
68;"O1068";"2025-01-26";"C009";"Dev Malhotra";"devmalhotra@gmail";"Thane";"West";"P102";"Wireless Mouse";"Accessories";4;"1299";"5";"UPI";"Complete ";"rahul"
71;"O1071";"2025-09-06";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Delhi";"North";"P108";"Webcam HD";"Electronics";1;"2599";"25";"Card";"Cancelled";"Amit"
72;"O1072";"2025-06-21";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Chennai";"South";"P102";"Wireless Mouse";"Accessories";2;"1299";"5";"Card";"In Progress";"rahul"
73;"O1073";"2025-03-20";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Pune";"West";"P107";"27 Inch Monitor";"Electronics";4;"14999";"10";"NetBanking";"Complete ";"Sana"
76;"O1076";"2026-01-18";"C009";"Dev Malhotra";"devmalhotra@gmail";"Kolkata";"East";"P104";"USB-C Hub";"Accessories";4;"2199";"5";"Card";"In Progress";"Sana"
78;"O1078";"2025/14/02";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Bengaluru";"South";"P110";"Office Chair";"Furniture";5;"8999";"25";"UPI";"completed";"rahul"
79;"O1079";"2025-08-08";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Hyderabad";"South";"P103";"Mechanical Keyboard";"Accessories";1;"3499";"10";"Cash";"Shipped";"Neha"
81;"O1081";"2025-02-11";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Mumbai";"West";"P109";"External SSD 1TB";"Storage";1;"7499";"10";"Card";"completed";"rahul"
82;"O1082";"2025-01-21";"C001";"aarav mehta";"aarav.mehta@gmail";"Thane";"West";"P104";"USB-C Hub";"Accessories";1;"2199";"20";"Card";"Cancelled";"Neha"
83;"O1083";"2025-08-31";"C002";"Priya Shah";"priya.shah@gmail.com";"Kolkata";"East";"P104";"USB-C Hub";"Accessories";4;"2199";"25";"Card";"Shipped";"Neha"
84;"O1084";"2025-11-07";"C010";"Pooja Desai";"pooja.desai@hotmail.com";"Pune";"West";"P103";"Mechanical Keyboard";"Accessories";3;"3499";"0";"NetBanking";"Complete";"Amit"
85;"O1085";"2025-10-22";"C007";"Kabir Nair";"kabir.nair@mail.com";"Bengaluru";"South";"P104";"USB-C Hub";"Accessories";1;"2199";"20";"COD";"Cancelled";"Rahul"
87;"O1087";"2025-08-08";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Pune";"West";"P109";"External SSD 1TB";"Storage";3;"7499";"0";"UPI";"In Progress";"Sana"
88;"O1088";"2025-02-24";"C007";"Kabir Nair";"kabir.nair@mail.com";"Noida";"North";"P108";"Webcam HD";"Electronics";2;"2599";"15";"Card";"Returned";"rahul"
92;"O1092";"2025-04-19";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Delhi";"North";"P106";"Bluetooth Speaker";"Audio";3;"2949";"20";"UPI";"Returned";"Neha"
94;"O1094";"2025-12-31";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Hyderabad";"South";"P101";"Laptop Stand";"Accessories";1;"799";"10";"Card";"In Progress";"rahul"
95;"O1095";"2025-05-05";"C005";"Ishaan Verma";"ishaan.verma@gmail.com";"Kolkata";"East";"P106";"Bluetooth Speaker";"Audio";4;"2799";"20";"NetBanking";"Shipped";"Sana"
96;"O1096";"2026-01-17";"C009";"Dev Malhotra";"devmalhotra@gmail";"Noida";"North";"P106";"Bluetooth Speaker";"Audio";4;"2799";"10";"Card";"cancelled";"Neha"
98;"O1098";"2025-04-21";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Delhi";"North";"P110";"Office Chair";"Furniture";5;"8999";"20";"Card";"completed";"Neha"
99;"O1099";"2025-06-01";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Noida";"North";"P103";"Mechanical Keyboard";"Accessories";3;"3499";"0";"COD";"Returned";"Neha"
100;"O1100";"2025-05-21";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Mumbai";"West";"P109";"External SSD 1TB";"Storage";3;"7499";"25";"Card";"Complete ";"Rahul"
101;"O1101";"2025-01-07";"C010";"Pooja Desai";"pooja.desai@hotmail.com";"Delhi";"North";"P108";"Webcam HD";"Electronics";4;"2599";"15";"Card";"Pending";"Rahul"
103;"O1103";"2025-12-18";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Navi Mumbai";"West";"P103";"Mechanical Keyboard";"Accessories";5;"3499";"10";"UPI";"Cancelled";"Rahul"
104;"O1104";"2025-10-13";"C007";"Kabir Nair";"kabir.nair@mail.com";"Kolkata";"East";"P110";"Office Chair";"Furniture";5;"8999";"5";"UPI";"Returned";"Sana"
106;"O1106";"2025-11-09";"C002";"Priya Shah";"priya.shah@gmail.com";"Thane";"West";"P104";"USB-C Hub";"Accessories";3;"2199";"25";"UPI";"Pending";"Neha"
108;"O1108";"2025-05-30";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Thane";"West";"P105";"Noise Cancelling Headphones";"Audio";3;"5999";"25";"UPI";"Complete ";"Rahul"
109;"O1109";"2025-12-18";"C004";"Sneha Joshi";"sneha.joshi@outlook";"Delhi";"North";"P110";"Office Chair";"Furniture";2;"8999";"15";"UPI";"Returned";"Neha"
110;"O1110";"2025-11-28";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Delhi";"North";"P103";"Mechanical Keyboard";"Accessories";1;"3499";"0";"Card";"cancelled";"Vikram"
111;"O1111";"2026-01-19";"C010";"Pooja Desai";"pooja.desai@hotmail.com";"Delhi";"North";"P108";"Webcam HD";"Electronics";1;"2599";"15";"COD";"cancelled";"rahul"
115;"O1115";"2025-11-30";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Delhi";"North";"P103";"Mechanical Keyboard";"Accessories";5;"4498";"25";"UPI";"Complete ";"Rahul"
116;"O1116";"2025-08-29";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Bengaluru";"South";"P106";"Bluetooth Speaker";"Audio";3;"2799";"25";"UPI";"Pending";"Amit"
117;"O1117";"2025-07-30";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Delhi";"North";"P107";"27 Inch Monitor";"Electronics";5;"14999";"0";"Cash";"completed";"Amit"
119;"O1119";"2025-07-31";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Thane";"West";"P109";"External SSD 1TB";"Storage";3;"7499";"20";"UPI";"Complete ";"rahul"
121;"O1121";"2025-09-06";"C002";"Priya Shah";"priya.shah@gmail.com";"Mumbai";"West";"P110";"Office Chair";"Furniture";2;"8999";"25";"Card";"cancelled";"Vikram"
123;"O1123";"2025-11-28";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Hyderabad";"South";"P105";"Noise Cancelling Headphones";"Audio";5;"5999";"25";"Card";"In Progress";"Sana"
125;"O1125";"2026-01-18";"C003";"Rohan Patil";"rohan.patil@yahoo.com";"Pune";"West";"P105";"Noise Cancelling Headphones";"Audio";4;"5999";"10";"UPI";"Returned";"Amit"
126;"O1126";"2026-02-25";"C001";"Aarav Mehta";"aarav.mehta@gmail";"Delhi";"North";"P105";"Noise Cancelling Headphones";"Audio";5;"5999";"20";"COD";"Complete ";"Neha"
127;"O1127";"2025-08-17";"C009";"Dev Malhotra";"devmalhotra@gmail";"Hyderabad";"South";"P106";"Bluetooth Speaker";"Audio";3;"2799";"20";"UPI";"Returned";"Sana"
128;"O1128";"2025-08-22";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Thane";"West";"P104";"USB-C Hub";"Accessories";5;"2199";"15";"Card";"In Progress";"Rahul"
129;"O1129";"2025-06-12";"C008";"Meera Iyer";"meera.iyer@gmail.com";"Bengaluru";"South";"P107";"27 Inch Monitor";"Electronics";2;"14999";"15";"UPI";"Pending";"Vikram"
130;"O1130";"2025-10-30";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Pune";"West";"P108";"Webcam HD";"Electronics";1;"2599";"20";"Cash";"Complete";"rahul"
132;"O1040";"2025-12-09";"C006";"Anaya Kulkarni";"anaya.kulkarni@gmail.com";"Thane";"West";"P105";"Noise Cancelling Headphones";"Audio";4;"5999";"5";"COD";"cancelled";"Sana"
